event_id,event_title,category_id,category_name,date,longitude,latitude,nearest_city_id,nearest_city_name,nearest_city_country,nearest_city_latitude,nearest_city_longitude,nearest_disaster_distance_km
EONET_19840,"rx-66 Prescribed Fire, Burnett, Wisconsin",wildfires,Wildfires,2026-04-23,-92.6535178,45.8508587,US-DENVER,Denver,United States,39.7392,-104.9903,1212.37
EONET_19839,"Bauman Wildfire, Jackson, South Dakota",wildfires,Wildfires,2026-04-23,-101.3950833,43.631,US-DENVER,Denver,United States,39.7392,-104.9903,525.62
EONET_19832,"Baldwin Fuels 6 RX Prescribed Fire, Lake, Michigan",wildfires,Wildfires,2026-04-23,-85.896883,43.88275,US-DALLAS,Dallas,United States,32.7767,-96.797,1555.59
EONET_19843,"Peterson Wildfire, Holt, Nebraska",wildfires,Wildfires,2026-04-23,-99.04273,42.12483,US-DENVER,Denver,United States,39.7392,-104.9903,565.5
EONET_19844,"Andrews Wildfire, Cherry, Nebraska",wildfires,Wildfires,2026-04-22,-101.004,42.763583,US-DENVER,Denver,United States,39.7392,-104.9903,473.34
EONET_19841,"Hammer Wildfire, El Paso, Colorado",wildfires,Wildfires,2026-04-22,-104.61,38.67,US-DENVER,Denver,United States,39.7392,-104.9903,123.32
EONET_19838,"Taber Rec Wildfire, Bon Homme, South Dakota",wildfires,Wildfires,2026-04-22,-97.647004,42.862657,US-DENVER,Denver,United States,39.7392,-104.9903,704.55
EONET_19862,Flood in Panama 1103850,floods,Floods,2026-04-22,-82.8312256,8.507448,US-MIAMI,Miami,United States,25.7617,-80.1918,1938.78
EONET_19834,"Pressey Wildfire, Cherry, Nebraska",wildfires,Wildfires,2026-04-22,-101.029476,42.246685,US-DENVER,Denver,United States,39.7392,-104.9903,433.79
EONET_19845,"Lone Pine Wildfire, Becker, Minnesota",wildfires,Wildfires,2026-04-22,-95.912189,47.020535,US-DENVER,Denver,United States,39.7392,-104.9903,1091.15
EONET_19850,"Wells Rd Unit 1 RX Prescribed Fire, Iosco, Michigan",wildfires,Wildfires,2026-04-22,-83.483333,44.425,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,1710.48
EONET_19835,"COW CREEK Wildfire, Levy, Florida",wildfires,Wildfires,2026-04-21,-82.6311111,29.2822222,US-MIAMI,Miami,United States,25.7617,-80.1918,459.42
EONET_19860,Flood in Afghanistan 1103848,floods,Floods,2026-04-21,67.666667,36.0,US-DENVER,Denver,United States,39.7392,-104.9903,11559.76
EONET_19861,Flood in Kenya 1103849,floods,Floods,2026-04-21,39.105095,-4.1836067,US-MIAMI,Miami,United States,25.7617,-80.1918,13133.72
EONET_19863,Flood in Venezuela 1103851,floods,Floods,2026-04-21,-69.5850374,10.5693891,US-MIAMI,Miami,United States,25.7617,-80.1918,2024.72
EONET_19854,"rx-73 Prescribed Fire, Burnett, Wisconsin",wildfires,Wildfires,2026-04-21,-92.645347,45.8694852,US-DENVER,Denver,United States,39.7392,-104.9903,1213.95
EONET_19836,"MM-45- Broward (06) Wildfire, Broward, Florida",wildfires,Wildfires,2026-04-21,-80.5,26.3002778,US-MIAMI,Miami,United States,25.7617,-80.1918,67.34
EONET_19831,"Hwy 82 Wildfire, Brantley, Georgia",wildfires,Wildfires,2026-04-21,-81.8438889,31.2222222,US-MIAMI,Miami,United States,25.7617,-80.1918,628.25
EONET_19846,"DeSoto BB 9370 C507 508 509 RX Prescribed Fire, Jackson, Mississippi",wildfires,Wildfires,2026-04-21,-88.86195,30.698133,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,142.75
EONET_19852,"RX CALE BU 44-367 Prescribed Fire, Rapides, Louisiana",wildfires,Wildfires,2026-04-21,-92.615933,31.132467,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,276.81
EONET_19813,Wildfire in Australia 1028503,wildfires,Wildfires,2026-04-20,126.7355675431825,-16.535361509719152,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12938.38
EONET_19833,"East Side Wildfire, Carbon, Montana",wildfires,Wildfires,2026-04-20,-109.3142,45.092167,US-DENVER,Denver,United States,39.7392,-104.9903,692.77
EONET_19849,"Hansen WPA RX Prescribed Fire, Clay, Nebraska",wildfires,Wildfires,2026-04-20,-97.862,40.452,US-DENVER,Denver,United States,39.7392,-104.9903,611.32
EONET_19858,"Krause RX Prescribed Fire, Fillmore, Nebraska",wildfires,Wildfires,2026-04-20,-97.792,40.467,US-DENVER,Denver,United States,39.7392,-104.9903,617.37
EONET_19851,"Burn Unit 17 RX Prescribed Fire, Sherburne, Minnesota",wildfires,Wildfires,2026-04-20,-93.683986,45.525011,US-DENVER,Denver,United States,39.7392,-104.9903,1124.98
EONET_19853,"Peacock 545 and 159 RX Prescribed Fire, Lake, Michigan",wildfires,Wildfires,2026-04-20,-85.829167,44.150617,US-DALLAS,Dallas,United States,32.7767,-96.797,1581.66
EONET_19792,"Crews Rd (10) Wildfire, Clay, Florida",wildfires,Wildfires,2026-04-20,-81.6333333,29.8861111,US-MIAMI,Miami,United States,25.7617,-80.1918,480.01
EONET_19797,"RAILROAD COMPLEX Wildfire, Putnam, Florida",wildfires,Wildfires,2026-04-19,-81.6330556,29.7855556,US-MIAMI,Miami,United States,25.7617,-80.1918,469.35
EONET_19810,Flood in Türkiye 1103845,floods,Floods,2026-04-19,40.8959403,37.3611355,US-MIAMI,Miami,United States,25.7617,-80.1918,10683.3
EONET_19799,"RAILROAD COMPLEX Wildfire, Putnam, Florida",wildfires,Wildfires,2026-04-19,-81.6327778,29.7855556,US-MIAMI,Miami,United States,25.7617,-80.1918,469.34
EONET_19814,Wildfire in India 1028505,wildfires,Wildfires,2026-04-19,92.97879524548557,25.551767673510113,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12031.91
EONET_19815,Wildfire in Australia 1028504,wildfires,Wildfires,2026-04-19,119.73427418932388,-32.69269470346073,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,14445.32
EONET_19794,"TUMEY Wildfire, Fresno, California",wildfires,Wildfires,2026-04-19,-120.65767,36.622459,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,201.91
EONET_19857,"River Road 16 RX Prescribed Fire, Iosco, Michigan",wildfires,Wildfires,2026-04-19,-83.591667,44.416667,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,1706.42
