date,ticker,open,close,volume
2024-01-02,ALL,139.25,140.18,1284300
2024-02-01,ALL,152.10,153.44,1198700
2024-03-01,ALL,160.92,162.35,1325400
2024-04-01,ALL,168.40,166.88,1412300
2024-05-01,ALL,171.50,172.14,1267400
2024-06-03,ALL,163.88,164.76,1532100
2024-07-01,ALL,159.30,160.22,1488700
2024-08-01,ALL,171.25,173.01,1694300
2024-09-03,ALL,184.60,185.92,1517800
2024-10-01,ALL,188.10,187.24,1356600
2024-11-01,ALL,185.55,186.70,1423300
2024-12-02,ALL,192.35,193.18,1339800
2025-01-02,ALL,191.85,190.44,1385200
2025-02-03,ALL,188.70,189.36,1293400
2025-03-03,ALL,193.20,194.05,1448700
2025-04-01,ALL,196.10,195.42,1512300
2025-05-01,ALL,198.80,200.15,1476900
2025-06-02,ALL,201.35,199.84,1589100
2025-07-01,ALL,203.00,204.62,1624500
2025-08-01,ALL,207.20,206.10,1723100
2025-09-02,ALL,210.45,211.30,1668700
2025-10-01,ALL,213.10,212.25,1555400
2025-11-03,ALL,215.80,217.04,1498700
2025-12-01,ALL,219.30,218.65,1462100
2026-01-02,ALL,221.15,222.20,1524300
2026-02-02,ALL,224.60,223.92,1598800
2026-03-02,ALL,226.75,228.10,1632100
2026-04-01,ALL,230.40,229.75,1675400
2024-01-02,HD,345.20,347.61,3254300
2024-02-01,HD,356.90,358.22,3108700
2024-03-01,HD,372.45,374.18,3512400
2024-04-01,HD,381.10,378.65,3387600
2024-05-01,HD,337.80,340.12,4219800
2024-06-03,HD,329.30,331.44,3891200
2024-07-01,HD,342.75,344.28,3664300
2024-08-01,HD,360.10,362.95,3477600
2024-09-03,HD,368.40,367.52,3298700
2024-10-01,HD,402.15,404.08,3155400
2024-11-01,HD,392.20,390.75,3367800
2024-12-02,HD,424.85,426.31,3221100
2025-01-02,HD,388.10,386.64,3539800
2025-02-03,HD,410.25,412.40,3412200
2025-03-03,HD,398.60,397.35,3608700
2025-04-01,HD,365.30,367.92,4025400
2025-05-01,HD,372.80,371.55,3789100
2025-06-02,HD,360.45,362.10,3901200
2025-07-01,HD,366.90,368.44,3847600
2025-08-01,HD,371.25,370.18,3765400
2025-09-02,HD,379.80,381.22,3654300
2025-10-01,HD,386.40,385.16,3556700
2025-11-03,HD,392.75,394.08,3498700
2025-12-01,HD,399.20,398.65,3421100
2026-01-02,HD,405.15,406.88,3387600
2026-02-02,HD,411.60,410.24,3319800
2026-03-02,HD,417.35,419.02,3276500
2026-04-01,HD,423.80,422.55,3215400
2024-01-02,CVX,149.40,150.02,8223400
2024-02-01,CVX,151.85,152.64,7932100
2024-03-01,CVX,154.20,155.11,8348700
2024-04-01,CVX,158.90,157.44,8654300
2024-05-01,CVX,162.30,163.18,8127600
2024-06-03,CVX,156.45,155.92,8412300
2024-07-01,CVX,154.80,155.36,8234500
2024-08-01,CVX,151.30,150.84,8765400
2024-09-03,CVX,142.60,143.25,9021100
2024-10-01,CVX,147.10,148.02,8874300
2024-11-01,CVX,153.25,152.70,8567800
2024-12-02,CVX,160.40,161.18,8312200
2025-01-02,CVX,145.90,146.54,8987600
2025-02-03,CVX,152.20,153.05,8675400
2025-03-03,CVX,158.35,157.82,8463200
2025-04-01,CVX,164.10,165.44,8798800
2025-05-01,CVX,169.30,168.62,8542100
2025-06-02,CVX,162.75,163.30,8334500
2025-07-01,CVX,160.20,159.84,8623100
2025-08-01,CVX,157.90,158.75,8912300
2025-09-02,CVX,161.35,162.04,8745600
2025-10-01,CVX,166.80,165.92,8532100
2025-11-03,CVX,170.25,171.10,8417600
2025-12-01,CVX,173.40,172.55,8376500
2026-01-02,CVX,176.85,177.30,8298700
2026-02-02,CVX,180.20,179.64,8185400
2026-03-02,CVX,183.15,184.02,8067600
2026-04-01,CVX,186.40,185.75,7984300
